Dataset Mhist
    Number of datapoints: 2175
    Root Location: /data/datasets/mhist_dataset
    Transforms (if any): Compose(
                             ToTensor()
                             Normalize(mean=(0.5071, 0.4866, 0.4409), std=(0.267, 0.256, 0.276))
                         )

Dataset Mhist
    Number of datapoints: 977
    Root Location: /data/datasets/mhist_dataset
    Transforms (if any): Compose(
                             ToTensor()
                             Normalize(mean=(0.5071, 0.4866, 0.4409), std=(0.267, 0.256, 0.276))
                         )

********** Fine-tuning teacher model**********
Evaluation at Epoch 0/30, train_(loss, auc, f1, acc) = 0.477, 0.583, 0.297, 0.75, test_(loss, auc, f1, acc) = 0.537, 0.569, 0.266, 0.68
Evaluation at Epoch 1/30, train_(loss, auc, f1, acc) = 0.439, 0.669, 0.513, 0.79, test_(loss, auc, f1, acc) = 0.502, 0.648, 0.477, 0.73
Evaluation at Epoch 2/30, train_(loss, auc, f1, acc) = 0.414, 0.739, 0.635, 0.81, test_(loss, auc, f1, acc) = 0.474, 0.717, 0.628, 0.76
Evaluation at Epoch 3/30, train_(loss, auc, f1, acc) = 0.402, 0.780, 0.688, 0.82, test_(loss, auc, f1, acc) = 0.460, 0.758, 0.694, 0.78
Evaluation at Epoch 4/30, train_(loss, auc, f1, acc) = 0.386, 0.759, 0.667, 0.83, test_(loss, auc, f1, acc) = 0.462, 0.722, 0.636, 0.77
Evaluation at Epoch 5/30, train_(loss, auc, f1, acc) = 0.376, 0.777, 0.693, 0.84, test_(loss, auc, f1, acc) = 0.456, 0.729, 0.648, 0.77
Evaluation at Epoch 6/30, train_(loss, auc, f1, acc) = 0.367, 0.771, 0.686, 0.84, test_(loss, auc, f1, acc) = 0.457, 0.716, 0.626, 0.76
Evaluation at Epoch 7/30, train_(loss, auc, f1, acc) = 0.359, 0.802, 0.726, 0.85, test_(loss, auc, f1, acc) = 0.447, 0.740, 0.667, 0.77
Evaluation at Epoch 8/30, train_(loss, auc, f1, acc) = 0.356, 0.766, 0.683, 0.84, test_(loss, auc, f1, acc) = 0.464, 0.698, 0.589, 0.76
Evaluation at Epoch 9/30, train_(loss, auc, f1, acc) = 0.346, 0.808, 0.733, 0.85, test_(loss, auc, f1, acc) = 0.443, 0.740, 0.667, 0.77
Evaluation at Epoch 10/30, train_(loss, auc, f1, acc) = 0.344, 0.806, 0.733, 0.85, test_(loss, auc, f1, acc) = 0.445, 0.739, 0.664, 0.77
Evaluation at Epoch 11/30, train_(loss, auc, f1, acc) = 0.344, 0.804, 0.731, 0.85, test_(loss, auc, f1, acc) = 0.446, 0.738, 0.663, 0.77
Evaluation at Epoch 12/30, train_(loss, auc, f1, acc) = 0.343, 0.803, 0.730, 0.85, test_(loss, auc, f1, acc) = 0.446, 0.737, 0.660, 0.77
Evaluation at Epoch 13/30, train_(loss, auc, f1, acc) = 0.343, 0.803, 0.731, 0.86, test_(loss, auc, f1, acc) = 0.446, 0.734, 0.656, 0.77
Evaluation at Epoch 14/30, train_(loss, auc, f1, acc) = 0.342, 0.803, 0.730, 0.85, test_(loss, auc, f1, acc) = 0.446, 0.739, 0.663, 0.78
Evaluation at Epoch 15/30, train_(loss, auc, f1, acc) = 0.341, 0.807, 0.734, 0.85, test_(loss, auc, f1, acc) = 0.445, 0.738, 0.663, 0.77
Evaluation at Epoch 16/30, train_(loss, auc, f1, acc) = 0.341, 0.803, 0.730, 0.85, test_(loss, auc, f1, acc) = 0.446, 0.737, 0.660, 0.77
Evaluation at Epoch 17/30, train_(loss, auc, f1, acc) = 0.340, 0.803, 0.731, 0.85, test_(loss, auc, f1, acc) = 0.445, 0.737, 0.661, 0.77
